,link_name
0,https://janjapan.com/used-car/safrica-durban/mercedes/c-class/871517#car_detail_gsllary
1,https://janjapan.com/used-car/safrica-durban/nissan/caravan/851271#car_detail_gsllary
2,https://janjapan.com/used-car/safrica-durban/nissan/caravan-van/873980#car_detail_gsllary
3,https://janjapan.com/used-car/safrica-durban/mercedes/c-class/872897#car_detail_gsllary
4,https://janjapan.com/used-car/safrica-durban/mercedes/e-class/870697#car_detail_gsllary
5,https://janjapan.com/used-car/safrica-durban/nissan/caravan/864631#car_detail_gsllary
6,https://janjapan.com/used-car/safrica-durban/mazda/cx-5/855276#car_detail_gsllary
7,https://janjapan.com/used-car/safrica-durban/nissan/note/853253#car_detail_gsllary
8,https://janjapan.com/used-car/safrica-durban/nissan/note/853107#car_detail_gsllary
9,https://janjapan.com/used-car/safrica-durban/mazda/axela-sport/848116#car_detail_gsllary
10,https://janjapan.com/used-car/safrica-durban/nissan/caravan/865916#car_detail_gsllary
11,https://janjapan.com/used-car/safrica-durban/toyota/hiace-van/861867#car_detail_gsllary
12,https://janjapan.com/used-car/safrica-durban/nissan/nv200/854132#car_detail_gsllary
13,https://janjapan.com/used-car/safrica-durban/nissan/note/853352#car_detail_gsllary
14,https://janjapan.com/used-car/safrica-durban/nissan/note/851600#car_detail_gsllary
15,https://janjapan.com/used-car/safrica-durban/nissan/march/851265#car_detail_gsllary
16,https://janjapan.com/used-car/safrica-durban/toyota/ractis/848187#car_detail_gsllary
17,https://janjapan.com/used-car/safrica-durban/toyota/hiace-van/853204#car_detail_gsllary
18,https://janjapan.com/used-car/safrica-durban/nissan/dayz/847888#car_detail_gsllary
19,https://janjapan.com/used-car/safrica-durban/nissan/note/847537#car_detail_gsllary
20,https://janjapan.com/used-car/safrica-durban/nissan/atlas/866239#car_detail_gsllary
21,https://janjapan.com/used-car/safrica-durban/toyota/aqua/855153#car_detail_gsllary
22,https://janjapan.com/used-car/safrica-durban/toyota/passo/855111#car_detail_gsllary
23,https://janjapan.com/used-car/safrica-durban/mazda/atenza/851018#car_detail_gsllary
24,https://janjapan.com/used-car/safrica-durban/nissan/nv200/854210#car_detail_gsllary
25,https://janjapan.com/used-car/safrica-durban/toyota/aqua/853571#car_detail_gsllary
26,https://janjapan.com/used-car/safrica-durban/toyota/passo/851453#car_detail_gsllary
27,https://janjapan.com/used-car/safrica-durban/nissan/x-trail/871438#car_detail_gsllary
28,https://janjapan.com/used-car/safrica-durban/nissan/march/855698#car_detail_gsllary
29,https://janjapan.com/used-car/safrica-durban/nissan/note/851944#car_detail_gsllary
30,https://janjapan.com/used-car/safrica-durban/toyota/sienta/844490#car_detail_gsllary
31,https://janjapan.com/used-car/safrica-durban/honda/fit/880424#car_detail_gsllary
32,https://janjapan.com/used-car/safrica-durban/honda/fit-hybrid/855285#car_detail_gsllary
33,https://janjapan.com/used-car/safrica-durban/mazda/cx-5/850154#car_detail_gsllary
34,https://janjapan.com/used-car/safrica-durban/toyota/passo/881144#car_detail_gsllary
35,https://janjapan.com/used-car/safrica-durban/nissan/dayz/877309#car_detail_gsllary
36,https://janjapan.com/used-car/safrica-durban/nissan/caravan/861988#car_detail_gsllary
37,https://janjapan.com/used-car/safrica-durban/honda/fit/855697#car_detail_gsllary
38,https://janjapan.com/used-car/safrica-durban/mazda/cx-5/855615#car_detail_gsllary
39,https://janjapan.com/used-car/safrica-durban/mazda/premacy/855317#car_detail_gsllary
40,https://janjapan.com/used-car/safrica-durban/mazda/demio/850353#car_detail_gsllary
41,https://janjapan.com/used-car/safrica-durban/subaru/trezia/845871#car_detail_gsllary
42,https://janjapan.com/used-car/safrica-durban/nissan/ad-van/841965#car_detail_gsllary
43,https://janjapan.com/used-car/safrica-durban/nissan/march/839050#car_detail_gsllary
44,https://janjapan.com/used-car/safrica-durban/mazda/axela/837319#car_detail_gsllary
45,https://janjapan.com/used-car/safrica-durban/volvo/s60/806354#car_detail_gsllary
46,https://janjapan.com/used-car/safrica-durban/mazda/cx-5/884580#car_detail_gsllary
47,https://janjapan.com/used-car/safrica-durban/nissan/x-trail/882729#car_detail_gsllary
48,https://janjapan.com/used-car/safrica-durban/mazda/cx-5/882435#car_detail_gsllary
49,https://janjapan.com/used-car/safrica-durban/mazda/axela/881960#car_detail_gsllary
50,https://janjapan.com/used-car/safrica-durban/toyota/vitz/876840#car_detail_gsllary
51,https://janjapan.com/used-car/safrica-durban/mazda/verisa/870434#car_detail_gsllary
52,https://janjapan.com/used-car/safrica-durban/toyota/vitz/869195#car_detail_gsllary
53,https://janjapan.com/used-car/safrica-durban/volks-w/up/868971#car_detail_gsllary
54,https://janjapan.com/used-car/safrica-durban/mazda/demio/867055#car_detail_gsllary
55,https://janjapan.com/used-car/safrica-durban/nissan/juke/866219#car_detail_gsllary
56,https://janjapan.com/used-car/safrica-durban/mazda/demio/864360#car_detail_gsllary
57,https://janjapan.com/used-car/safrica-durban/mazda/demio/857457#car_detail_gsllary
58,https://janjapan.com/used-car/safrica-durban/toyota/ractis/855109#car_detail_gsllary
59,https://janjapan.com/used-car/safrica-durban/nissan/march/854970#car_detail_gsllary
60,https://janjapan.com/used-car/safrica-durban/nissan/caravan-van/846800#car_detail_gsllary
61,https://janjapan.com/used-car/safrica-durban/mazda/bongo-van/833307#car_detail_gsllary
62,https://janjapan.com/used-car/safrica-durban/toyota/spade/854707#car_detail_gsllary
63,https://janjapan.com/used-car/safrica-durban/toyota/probox-van/854610#car_detail_gsllary
64,https://janjapan.com/used-car/safrica-durban/nissan/dayz/847353#car_detail_gsllary
65,https://janjapan.com/used-car/safrica-durban/nissan/ad-expert/880481#car_detail_gsllary
66,https://janjapan.com/used-car/safrica-durban/honda/fit/854402#car_detail_gsllary
67,https://janjapan.com/used-car/safrica-durban/toyota/passo/850183#car_detail_gsllary
68,https://janjapan.com/used-car/safrica-durban/nissan/lafesta/880491#car_detail_gsllary
69,https://janjapan.com/used-car/safrica-durban/nissan/note/854498#car_detail_gsllary
70,https://janjapan.com/used-car/safrica-durban/nissan/caravan/846093#car_detail_gsllary
71,https://janjapan.com/used-car/safrica-durban/nissan/atlas/883367#car_detail_gsllary
72,https://janjapan.com/used-car/safrica-durban/toyota/aqua/876284#car_detail_gsllary
73,https://janjapan.com/used-car/safrica-durban/nissan/caravan/854764#car_detail_gsllary
74,https://janjapan.com/used-car/safrica-durban/nissan/note/854617#car_detail_gsllary
75,https://janjapan.com/used-car/safrica-durban/nissan/caravan/879636#car_detail_gsllary
76,https://janjapan.com/used-car/safrica-durban/nissan/serena/878262#car_detail_gsllary
77,https://janjapan.com/used-car/safrica-durban/mazda/atenza/873439#car_detail_gsllary
78,https://janjapan.com/used-car/safrica-durban/nissan/note/852714#car_detail_gsllary
79,https://janjapan.com/used-car/safrica-durban/honda/fit-shuttle-hybrid/852022#car_detail_gsllary
80,https://janjapan.com/used-car/safrica-durban/nissan/caravan/879366#car_detail_gsllary
81,https://janjapan.com/used-car/safrica-durban/jeep/compass/879214#car_detail_gsllary
82,https://janjapan.com/used-car/safrica-durban/toyota/sienta/878923#car_detail_gsllary
83,https://janjapan.com/used-car/safrica-durban/nissan/caravan/867797#car_detail_gsllary
84,https://janjapan.com/used-car/safrica-durban/toyota/hiace-van/866388#car_detail_gsllary
85,https://janjapan.com/used-car/safrica-durban/nissan/latio/857056#car_detail_gsllary
86,https://janjapan.com/used-car/safrica-durban/mazda/demio/854084#car_detail_gsllary
87,https://janjapan.com/used-car/safrica-durban/toyota/spade/851684#car_detail_gsllary
88,https://janjapan.com/used-car/safrica-durban/volks-w/golf-6-tsi/844481#car_detail_gsllary
89,https://janjapan.com/used-car/safrica-durban/nissan/march/841811#car_detail_gsllary
90,https://janjapan.com/used-car/safrica-durban/mazda/demio/841513#car_detail_gsllary
91,https://janjapan.com/used-car/safrica-durban/volks-w/up/885379#car_detail_gsllary
92,https://janjapan.com/used-car/safrica-durban/toyota/vitz/884080#car_detail_gsllary
93,https://janjapan.com/used-car/safrica-durban/toyota/sienta/869812#car_detail_gsllary
94,https://janjapan.com/used-car/safrica-durban/volks-w/up/869240#car_detail_gsllary
95,https://janjapan.com/used-car/safrica-durban/mazda/demio/865689#car_detail_gsllary
96,https://janjapan.com/used-car/safrica-durban/mazda/premacy/863730#car_detail_gsllary
97,https://janjapan.com/used-car/safrica-durban/nissan/latio/861940#car_detail_gsllary
